日期	凭证号	金额
2022-06-07	记-201	49,000.00
2022-06-07	记-199	16,550.00
2022-06-10	记-309	9,360.00
2022-06-10	记-307	25,686.00
2022-06-10	记-309	9,070.00
2022-06-10	记-302	29,100.00
2022-06-10	记-301	19,400.00
2022-06-10	记-296	49,579.00
2022-06-10	记-297	49,811.00
2022-06-14	记-378	14,420.30
2022-06-14	记-373	14,545.00
2022-06-14	记-374	14,610.00
2022-06-21	记-526	13,820.00
2022-06-21	记-543	18,500.00
2022-06-21	记-543	27,800.00
2022-06-21	记-545	38,300.00
2022-06-21	记-527	48,000.00
2022-06-21	记-553	47,550.00
2022-06-21	记-534	49,603.80
2022-06-21	记-555	5,180.00
2022-06-21	记-528	38,500.00
2022-06-21	记-546	48,600.00
2022-06-21	记-516	37,370.00
2022-06-22	记-678	20,140.00
2022-06-22	记-676	47,789.60
2022-06-23	记-755	9,485.00
2022-06-27	记-791	19,040.00
2022-06-27	记-793	30,000.00
2022-06-27	记-792	18,057.60
2022-07-03	记-298	37,370.00
2022-07-03	记-296	22,340.00
2022-07-03	记-297	39,250.00
2022-07-03	记-294	27,400.00
2022-07-03	记-34	28,300.00
2022-07-03	记-187	49,884.00
2022-07-03	记-227	44,800.00
2022-07-09	记-491	11,680.00
2022-07-11	记-569	10,000.00
2022-08-12	记-57	46,280.00
2022-08-23	记-100	4,801.00
2022-08-23	记-102	49,914.00
2022-08-23	记-99	8,910.00
2022-09-06	记-33	30,000.00
2022-09-09	记-152	48,160.00
2022-09-19	记-329	49,818.00
2022-09-19	记-264	49,923.40
2022-09-20	记-648	5
2022-09-22	记-648	300
2022-09-22	记-480	28,613.00
2022-09-22	记-475	5,355.00
2022-09-23	记-545	48,500.00
2022-09-23	记-544	38,800.00
2022-09-26	记-564	5,034.00
2022-09-26	记-648	2,005.00
2022-09-26	记-640	35,150.00
2022-09-26	记-644	28,450.00
2022-09-26	记-645	4,866.00
2022-09-26	记-641	8,351.00
2022-10-10	记-41	739
2022-10-10	记-38	14,370.00
2022-10-10	记-41	299
2022-10-10	记-36	28,163.00
2022-10-10	记-38	19,270.00
2022-10-10	记-34	3,260.00
2022-10-10	记-32	49,961.00
2022-10-11	记-67	48,000.00
