日期	凭证号	金额
2022-01-11	记-175	9945.00 
2022-01-11	记-183	14210.00 
2022-01-11	记-184	9816.00 
2022-01-12	记-202	7790.00 
2022-01-12	记-202	9850.00 
2022-01-12	记-204	12565.00 
2022-01-12	记-205	41000.00 
2022-01-13	记-187	10963.00 
2022-01-13	记-190	49540.00 
2022-01-13	记-192	18850.00 
2022-01-13	记-194	9800.00 
2022-01-13	记-199	17366.00 
2022-01-13	记-199	24762.00 
2022-01-13	记-200	44518.30 
2022-01-13	记-201	27900.00 
2022-01-14	记-160	9960.00 
2022-01-14	记-161	9990.00 
2022-01-14	记-162	985.00 
2022-01-14	记-83	9980.00 
2022-02-21	记-100	10,452.80
2022-02-21	记-134	9,200.00
2022-02-21	记-89	47,400.00
2022-02-21	记-97	28,200.00
2022-02-24	记-103	12,800.00
2022-02-24	记-104	7,380.00
2022-02-24	记-104	6,795.00
2022-02-24	记-107	1,176.00
2022-03-01	记-248	49,282.00
2022-03-01	记-263	29,610.00
2022-03-01	记-280	4,642.00
2022-03-01	记-302	49,800.00
2022-03-02	记-280	4,642.00
2022-03-02	记-280	4,642.00
2022-03-03	记-270	9,830.00
2022-03-03	记-271	28,500.00
2022-03-03	记-272	9,990.00
2022-03-03	记-273	9,980.00
2022-03-03	记-274	9,960.00
2022-03-03	记-281	49,599.00
2022-03-07	记-226	4,906.00
2022-03-07	记-245	41,000.00
2022-03-07	记-246	28,150.00
2022-03-07	记-247	9,800.00
2022-03-09	记-249	561.6
2022-03-09	记-287	28,820.00
2022-03-09	记-394	8,725.00
2022-03-10	记-260	9,840.00
2022-03-15	记-250	477.9
2022-03-15	记-250	538.2
2022-03-15	记-254	18,700.00
2022-03-15	记-256	49,648.00
2022-03-15	记-360	24,450.00
2022-03-15	记-373	9,816.00
2022-03-16	记-363	11,228.00
2022-03-16	记-363	5,703.00
2022-03-16	记-363	104.6
2022-03-18	记-358	48,585.00
2022-03-21	记-16	28,430.00
2022-03-24	记-373	9,816.00
2022-03-25	记-364	24,220.00
2022-03-25	记-366	18,276.00
2022-03-25	记-366	15,298.30
2022-03-25	记-366	8,652.20
2022-03-25	记-369	29,240.00
2022-04-01	记-53	3,790.00
2022-04-01	记-54	14,944.00
2022-04-01	记-55	848.2
2022-04-01	记-56	1,340.75
2022-04-01	记-57	1,531.83
2022-04-01	记-58	1,153.69
2022-04-01	记-61	3,980.00
2022-04-02	记-63	22,800.00
2022-04-02	记-64	49,200.00
2022-04-07	记-102	9,920.00
2022-04-07	记-103	9,922.00
2022-04-07	记-106	47,700.00
2022-04-07	记-108	466
2022-04-07	记-108	400
2022-04-07	记-109	800
2022-04-07	记-109	800
2022-04-07	记-109	800
2022-04-07	记-109	800
2022-04-07	记-109	800
2022-04-07	记-109	800
2022-04-07	记-52	1,500.00
2022-04-11	记-123	44,600.00
2022-04-11	记-176	15,000.00
2022-04-11	记-177	25,200.00
2022-04-11	记-178	19,800.00
2022-04-11	记-179	46,000.00
2022-04-11	记-180	49,000.00
2022-04-13	记-224	20,931.00
2022-04-13	记-229	6,315.00
2022-04-13	记-230	9,945.00
2022-04-13	记-232	6,400.00
2022-04-13	记-234	49,708.00
2022-04-13	记-236	4,182.12
2022-04-15	记-231	7,236.00
2022-04-18	记-226	1,823.00
2022-04-20	记-294	9,686.00
2022-04-20	记-296	9,400.00
2022-04-20	记-304	1,907.00
2022-04-20	记-305	5,000.00
2022-04-20	记-333	8,193.60
2022-04-20	记-335	35,400.00
2022-04-20	记-363	18,450.00
2022-04-20	记-371	35,700.00
2022-04-20	记-382	1,570.02
2022-04-20	记-390	29,540.00
2022-04-21	记-456	218.69
2022-04-21	记-458	4,000.00
2022-04-25	记-511	42,400.00
2022-04-25	记-512	28,890.00
2022-04-25	记-513	580
2022-04-25	记-519	28,569.00
2022-05-03	记-10	9,990.00
2022-05-03	记-24	47,000.00
2022-05-03	记-21	36,900.00
2022-05-03	记-23	26,600.00
2022-05-06	记-63	46,550.00
2022-05-06	记-69	18,976.00
2022-05-06	记-68	8,766.00
2022-05-06	记-67	9,890.00
2022-05-06	记-53	47,744.76
2022-05-12	记-111	8,500.00
2022-05-16	记-363	26,930.00
2022-05-16	记-364	9,922.00
2022-05-16	记-365	23,880.00
2022-05-16	记-357	29,150.00
2022-05-16	记-375	6,100.00
2022-05-16	记-375	6,650.00
2022-05-16	记-370	36,454.00
2022-05-16	记-366	7,700.00
2022-05-17	记-387	9,290.00
2022-05-17	记-387	4,350.00
2022-05-20	记-430	37,060.00
2022-05-20	记-429	19,440.00
2022-05-20	记-433	45,960.00
2022-05-20	记-429	9,480.00
2022-05-20	记-432	47,220.00
2022-05-20	记-434	46,948.00
2022-05-20	记-516	22,544.00
2022-05-20	记-520	49,810.00
2022-05-20	记-459	49,300.00
2022-05-20	记-454	37,500.00
2022-05-20	记-453	25,200.00
2022-05-24	记-647	49,725.00
2022-05-24	记-537	24,550.00
2022-05-24	记-538	25,450.00
2022-05-25	记-678	49,999.60
2022-06-02	记-50	17,895.10
2022-06-02	记-47	8,140.00
2022-06-02	记-47	8,280.00
2022-06-02	记-47	9,640.00
2022-06-02	记-35	7,650.00
2022-06-02	记-42	21,000.00
2022-06-02	记-36	36,100.00
2022-06-02	记-40	8,263.99
2022-06-02	记-35	20,700.00
2022-06-02	记-35	17,580.00
2022-06-02	记-30	41,789.66
2022-06-02	记-32	49,951.60
2022-06-02	记-29	3,000.00
2022-06-02	记-31	39,144.00
