日期	凭证号	金额
2022-01-21	记-83	9,980.00
2022-01-28	记-161	9,990.00
2022-10-08	记-41	299.00
2022-01-29	记-190	49,540.00
2022-01-29	记-200	44,518.30
2022-01-29	记-199	42,128.00
2022-01-29	记-205	41,000.00
2022-01-29	记-201	27,900.00
2022-01-29	记-192	18,850.00
2022-03-31	记-249	561.60
2022-01-29	记-183	14,210.00
2022-01-29	记-187	10,963.00
2022-10-08	记-41	739.00
2022-01-29	记-160	9,960.00
2022-01-29	记-175	9,945.00
2022-01-29	记-184	9,816.00
2022-01-29	记-194	9,800.00
2022-01-31	记-86	40,041.00
2022-01-31	记-85	2,600.00
2022-02-28	记-89	47,400.00
2022-02-28	记-97	28,200.00
2022-02-28	记-104	14,175.00
2022-02-28	记-103	12,800.00
2022-01-28	记-162	985.00
2022-02-28	记-134	9,200.00
2022-02-28	记-107	1,176.00
2022-03-31	记-250	1,016.10
2022-03-31	记-302	49,800.00
2022-04-01	记-52	1,500.00
2022-03-31	记-281	49,599.00
2022-03-31	记-248	49,282.00
2022-09-26	记-648	1,700.00
2022-04-13	记-226	1,823.00
2022-03-31	记-263	29,610.00
2022-03-31	记-280	4,642.00
2022-03-31	记-287	28,820.00
2022-03-31	记-271	28,500.00
2022-03-31	记-226	4,906.00
2022-03-31	记-360	24,450.00
2022-06-01	记-47	8,140.00
2022-06-01	记-47	8,280.00
2022-03-31	记-366	8,652.20
2022-03-31	记-363	17,035.60
2022-06-09	记-309	9,070.00
2022-03-31	记-272	9,990.00
2022-03-31	记-273	9,980.00
2022-03-31	记-274	9,960.00
2022-06-09	记-309	9,360.00
2022-03-31	记-270	9,830.00
2022-05-18	记-429	9,480.00
2022-03-31	记-394	8,725.00
2022-06-01	记-47	9,640.00
2022-02-28	记-100	9,779.80
2022-03-31	记-247	9,800.00
2022-03-31	记-260	9,840.00
2022-01-29	记-204	10,560.00
2022-04-01	记-64	49,200.00
2022-04-01	记-63	22,800.00
2022-04-01	记-54	14,944.00
2022-04-01	记-61	3,980.00
2022-04-01	记-53	3,790.00
2022-04-01	记-57	1,531.83
2022-10-08	记-38	14,370.00
2022-04-01	记-56	1,340.75
2022-04-01	记-58	1,153.69
2022-04-01	记-55	848.20
2022-04-06	记-106	47,700.00
2022-04-06	记-103	9,922.00
2022-04-06	记-102	9,920.00
2022-04-06	记-109	800.00
2022-04-06	记-109	800.00
2022-04-06	记-109	800.00
2022-04-06	记-109	800.00
2022-04-06	记-109	800.00
2022-04-06	记-109	800.00
2022-04-06	记-108	466.00
2022-04-06	记-108	400.00
2022-04-06	记-100	0.07
2022-04-08	记-123	44,600.00
2022-04-11	记-180	49,000.00
2022-04-11	记-179	46,000.00
2022-04-11	记-177	25,200.00
2022-04-11	记-178	19,800.00
2022-04-11	记-176	15,000.00
2022-04-13	记-234	49,708.00
2022-04-13	记-224	20,931.00
2022-04-13	记-230	9,945.00
2022-04-13	记-231	7,236.00
2022-04-13	记-232	6,400.00
2022-04-13	记-229	6,315.00
2022-04-13	记-236	4,182.12
2022-03-31	记-366	15,298.30
