日期	凭证号	金额
2022-04-18	记-335	35,400.00
2022-04-18	记-294	9,686.00
2022-04-18	记-296	9,400.00
2022-04-18	记-333	8,193.60
2022-04-18	记-305	5,000.00
2022-04-18	记-304	1,907.00
2022-04-19	记-353	800.00
2022-04-19	记-353	800.00
2022-04-19	记-353	800.00
2022-04-19	记-353	800.00
2022-04-19	记-353	800.00
2022-04-19	记-353	800.00
2022-04-19	记-353	800.00
2022-04-19	记-353	800.00
2022-04-19	记-353	800.00
2022-04-19	记-353	800.00
2022-04-19	记-353	800.00
2022-04-19	记-353	800.00
2022-04-20	记-371	35,700.00
2022-04-20	记-390	29,540.00
2022-04-20	记-363	18,450.00
2022-04-20	记-382	1,570.02
2022-04-20	记-427	500.00
2022-04-21	记-458	4,000.00
2022-04-21	记-456	218.69
2022-04-25	记-511	42,400.00
2022-04-25	记-512	28,890.00
2022-04-25	记-519	28,569.00
2022-04-25	记-513	580.00
2022-05-02	记-24	47,000.00
2022-05-02	记-21	36,900.00
2022-05-02	记-23	26,600.00
2022-05-02	记-10	9,990.00
2022-05-05	记-53	47,744.76
2022-05-05	记-63	46,550.00
2022-05-05	记-69	18,976.00
2022-05-05	记-67	9,890.00
2022-05-05	记-68	8,766.00
2022-05-10	记-111	8,500.00
2022-01-29	记-202	17,640.00
2022-05-16	记-370	36,454.00
2022-05-16	记-357	29,150.00
2022-05-16	记-363	26,930.00
2022-05-16	记-365	23,880.00
2022-05-16	记-364	9,922.00
2022-05-16	记-366	7,700.00
2022-05-16	记-375	6,650.00
2022-05-16	记-375	6,100.00
2022-03-31	记-366	18,276.00
2022-03-31	记-254	18,700.00
2022-10-08	记-38	19,270.00
2022-05-17	记-387	9,290.00
2022-05-17	记-387	4,350.00
2022-05-18	记-432	47,220.00
2022-05-18	记-434	46,948.00
2022-05-18	记-433	45,960.00
2022-05-18	记-430	37,060.00
2022-05-18	记-429	19,440.00
2022-05-13	记-516	22,544.00
2022-05-20	记-459	49,300.00
2022-05-20	记-454	37,500.00
2022-05-20	记-453	25,200.00
2022-05-23	记-678	49,999.60
2022-05-23	记-647	49,725.00
2022-03-31	记-364	24,220.00
2022-05-17	记-537	24,550.00
2022-05-17	记-538	25,450.00
2022-06-01	记-36	36,100.00
2022-06-01	记-42	21,000.00
2022-06-01	记-50	17,895.10
2022-06-01	记-35	13,500.00
2022-03-31	记-246	28,150.00
2022-03-18	记-16	28,430.00
2022-06-01	记-40	8,263.99
2022-03-31	记-369	29,240.00
2022-06-01	记-35	7,650.00
2022-06-01	记-35	7,200.00
2022-06-01	记-35	6,500.00
2022-06-01	记-35	6,090.00
2022-06-01	记-35	4,990.00
2022-06-01	记-29	3,000.00
2022-06-06	记-201	49,000.00
2022-06-06	记-199	16,550.00
2022-06-01	记-31	39,144.00
2022-06-09	记-296	49,579.00
2022-06-09	记-302	29,100.00
2022-06-09	记-307	25,686.00
2022-06-09	记-301	19,400.00
2022-03-31	记-245	41,000.00
2022-06-01	记-30	41,789.66
2022-06-09	记-315	0.01
2022-06-13	记-374	14,610.00
2022-06-13	记-373	14,545.00
2022-06-13	记-378	14,420.30
2022-10-08	记-67	48,000.00
2022-03-31	记-358	48,585.00
2022-06-17	记-527	48,000.00
2022-06-17	记-553	47,550.00
2022-06-17	记-528	38,500.00
2022-06-17	记-545	38,300.00
2022-06-17	记-516	37,370.00
2022-06-17	记-543	27,800.00
2022-06-17	记-543	18,500.00
2022-06-17	记-526	13,820.00
2022-06-17	记-555	5,180.00
2022-06-21	记-676	47,789.60
2022-06-21	记-678	20,140.00
2022-06-23	记-755	9,485.00
2022-06-27	记-793	30,000.00
2022-06-27	记-791	19,040.00
2022-06-27	记-792	18,057.60
2022-06-27	记-817	0.04
2022-07-01	记-187	49,884.00
2022-07-01	记-227	44,800.00
2022-07-01	记-297	39,250.00
2022-07-01	记-298	37,370.00
2022-07-01	记-34	28,300.00
2022-07-01	记-294	27,400.00
2022-07-01	记-296	22,340.00
2022-07-05	记-491	11,680.00
2022-07-10	记-569	10,000.00
2022-08-11	记-57	46,280.00
2022-08-19	记-102	49,914.00
2022-08-19	记-99	8,910.00
2022-08-19	记-100	4,801.00
2022-09-03	记-33	30,000.00
2022-09-08	记-152	48,160.00
2022-09-14	记-264	49,923.40
2022-09-19	记-329	49,818.00
2022-09-21	记-480	28,613.00
2022-09-21	记-475	5,355.00
2022-09-22	记-545	48,500.00
2022-09-22	记-544	38,800.00
2022-09-23	记-564	5,034.00
2022-09-26	记-640	35,150.00
2022-09-26	记-644	28,450.00
2022-09-26	记-641	8,351.00
2022-09-26	记-645	4,866.00
2022-06-17	记-546	48,600.00
2022-06-17	记-534	49,603.80
2022-03-31	记-256	49,648.00
2022-10-08	记-36	28,163.00
2022-05-17	记-520	49,810.00
2022-06-09	记-297	49,811.00
2022-10-08	记-34	3,260.00
2022-06-01	记-32	49,951.60
2022-10-08	记-32	49,961.00
